Female_Frequency,Female_Amplitude
0.0,0.0
0.2913752913752914,0.0
0.5827505827505828,0.0
0.8741258741258742,0.0
1.1655011655011656,0.0
1.456876456876457,0.0
1.7482517482517483,0.0
2.0396270396270397,0.0
2.331002331002331,0.0
2.6223776223776225,0.0
2.913752913752914,0.0
3.2051282051282053,0.0
3.4965034965034967,0.0
3.787878787878788,0.0
4.0792540792540795,0.0
4.370629370629371,0.0
4.662004662004662,0.0
4.953379953379954,0.0
5.244755244755245,0.0
5.536130536130536,0.0
5.827505827505828,0.0
6.118881118881119,0.0
6.410256410256411,0.0
6.701631701631702,0.0
6.993006993006993,0.0
7.284382284382285,0.0
7.575757575757576,0.0
7.8671328671328675,0.0
8.158508158508159,0.0
8.449883449883451,0.0
8.741258741258742,0.0
9.032634032634032,0.0
9.324009324009324,0.0
9.615384615384617,0.0
9.906759906759907,0.0
10.198135198135198,0.0
10.48951048951049,0.0
10.780885780885782,0.0
11.072261072261073,0.0
11.363636363636363,0.0
11.655011655011656,0.0
11.946386946386948,0.0
12.237762237762238,0.0
12.529137529137529,0.0
12.820512820512821,0.0
13.111888111888113,0.0
13.403263403263404,0.0
13.694638694638694,0.0
13.986013986013987,0.0
14.277389277389279,0.0
14.56876456876457,0.0
14.86013986013986,0.0
15.151515151515152,0.0
15.442890442890445,0.0
15.734265734265735,0.0
16.025641025641026,0.0
16.317016317016318,0.0
16.60839160839161,0.0
16.899766899766902,0.0
17.19114219114219,0.0
17.482517482517483,0.0
17.773892773892776,0.0
18.065268065268064,0.0708597832608325
18.356643356643357,0.21970324522321397
18.64801864801865,0.21970324522321397
18.93939393939394,0.21970324522321397
19.230769230769234,0.21970324522321397
19.522144522144522,0.21970324522321397
19.813519813519815,0.21970324522321397
20.104895104895107,0.21970324522321397
20.396270396270396,0.21970324522321397
20.687645687645688,0.21970324522321397
20.97902097902098,0.21970324522321397
21.270396270396272,0.21970324522321397
21.561771561771565,0.21970324522321397
21.853146853146853,0.21970324522321397
22.144522144522146,0.21970324522321397
22.435897435897438,0.14884346196238146
22.727272727272727,0.0
23.01864801864802,0.0
23.31002331002331,0.0
23.601398601398603,0.0
23.892773892773896,0.0
24.184149184149184,0.0
24.475524475524477,0.0
24.76689976689977,0.0
25.058275058275058,0.0
25.34965034965035,0.008817101216202612
25.641025641025642,0.008817101216202612
25.932400932400935,0.008817101216202612
26.223776223776227,0.008817101216202612
26.515151515151516,0.008817101216202612
26.806526806526808,0.08741888938912826
27.0979020979021,0.08741888938912826
27.38927738927739,0.08741888938912826
